fixtureid,report,createdby,createdate
18,<p>With a school game at The Beacon not due to finish until 6.30## Ballinger had no choice but to start the game with 5 players (including 2 subs.) which had a major impact on the batting order. This was no way to start a game against a strong Chesham side including several county players. Chesham sportingly agreed that Ballinger should bat first on a wicket with variable bounce and a great deal of sideways movement. 100 would have been a good score.</p><p>The first few overs were negotiated safely until the wicket's variable bounce played its part in accounting for the first two wickets. Adam clipped his 2nd ball over the deep square boundary and Alex & Tom (Watts) mixed good defence with sensible attaching shots. The score was on 31 after 12 overs & acceleration was needed. Woody and Stefan led the way with George & Kristian playing their part. Somehow we managed to scrape our way to 82.</p><p>Luke & Richard opened the bowling against as good a batsman as they will play against all season. Both gave it everything. Looking for inspiration Stefan then turned to James “golden arm” Stoddart who opened up with a double wicket maiden including the prize scalp - great catch by Stefan. Jack produced 4 tidy economical overs## picking up 1 wicket and Ballinger were now back in it. Ballinger kept up the pressure with the excellent ground fielding all the way through. 26 off 6 needed & the Chesham batsmen (and coaches) were starting to feel the pressure. Great catch by Luke followed by an equally good run out by Woody & the pressure continued to mount. George## now into his rhythm picks up 2 quick wickets. Kristian## Tom Sperring & Callum continued to set the example in the field & two runs are needed off the last ball. Unfortunately Chesham managed to scrape home in the dark.</p><p>Summary.Under the circumstances this really was a great team effort and hopefully everyone who played now knows they can compete (and beat) anyone they play against. On difficult wickets## against good quality bowling## patience is needed. We have to play straight. Extras on both sides were top score so the need to bowl straight (especially on this type of wicket) is key to defending a total.</p><p>A special mention to Tom S. & Callum. Your attitude & team spirit set the tone. Stefan## captaincy wise## that's as hard as it will get!</p> <p>Team: Stefan Otto## James Woods## Luke Martin## Richard Wise## James Stoddart## Jack Maciver## Callum Bright## Tom Sperring## Kristian Otto## George Bartlett## Adam Robinson.Subs - Alex Morgan## Tom Watts</p>,Ian,2010-02-11
19,. . . shortly,Jamie,2010-02-11
20,<p>A determined and focused U13A team eased into the second round of the cup overcoming Gt. Kingshill. </p><p>On a damp and dreary Sunday morning Ballinger were put in after losing the toss. Sam Privett and Stefan Otto batted solidly to see off the dangerous Kingshill opening bowlers with Sam being a little unlucky to be run out. </p><p>Following the departure of the openers James Wood produced some beautifully timed drives on his way to 16. Luke Martin scored some quick fire runs before hitting all round a straight one and Tom Sperring batted well to reach double figures before smashing a drive straight to a Kingshill fielder who did well to hang on given the cold and damp conditions. At 66-5 off 14 overs though## Kingshill must have had hopes of restricting Ballinger to a reasonable score. James Stoddart however produced his best innings for Ballinger for some time mixing excellent strokeplay with intelligent running between the wickets. Well assisted by Jack MacIver and Tom Watts they pushed the score on to 102 after 20 overs. </p><p>The Kingshill reply started briskly reaching 26-0 after 4 overs. This was largely due to both Jack and Richard struggling with their footing. The introduction of James Stoddart brought immediate success (again!) bowling Kingshill's best batsman and along with Sam who bowled an excellent line and length pegged back the Kingshill reply with only 15 runs coming off their 8 overs. Off a shortened run up Jack still managed to fizz one past the edge of the batsman's bat with James Wood completing the dismissal with a good catch behind the wicket. Richard managed to conjure up an amazing run out hitting the stumps from out by the boundary. If the Kingshill batsman were hoping for some respite they didn't get it as Adam Robinson bowled quick and straight to finish off the tailenders. The bowlers were well supported in the field with Callum Bright and Tom Watts in the thick of the action. </p><p>Stefan again captained the team well## leading from the front and always giving encouragement and assistance to the team along with making sure the ball was as dry as possible for his bowlers! </p><p>In the end a comfortable win built on sensible batting## all the bowlers bowling a good line and length backed up by some solid fielding. </p><p>Scorecard:<br><b>Ballinger 102 for 6</b> (James Stoddart 16*## James Wood 16## Stefan Otto 12## Tom Sperring 10)</p><p><b>Gt Kingshill 58 all out</b> (Adam Robinson 3-2-3-3## James Stoddart 4-1-8-3## Sam Privett 4-2-7-1)</p>,Ian,2010-02-11
21,Taplow 168 - 4 (Declared)<br>Ballinger 169 - 8 <p>Ballinger captain## Ian Maciver## won the toss and decided to field on an overcast## muggy day at Taplow. Openers Lloyd and McNeil made good use of the conditions to bowl very tight opening spells## the batsmen finding it hard to score off the swinging ball. Lloyd was first to make a breakthrough with a diving catch off his own bowling (fortunately not followed by the 'twang' of breaking hip replacement components)## he also took the second wicket with a ball that surprised the batsmen by swinging right round his legs and striking leg stump. The openers were supported admirably by some fine bowling from Colts Stone## Hughes and Maciver Jnr (4 overs## 3 maidens) and a nine over spell of off-spin from Maciver Snr. The Taplow run-rate was not allowed to accelerate until after their no.4's solid inning of 53 was ended in the safe hands of Maw off the bowling of McNeil. This brought on Taplow's big-hitting no.5 who struck a quickfire 28 before skying one to Maciver Snr off Ballinger debutant Johnson. Taplow's innings ended with a score of 168 declared## at tea. </p><p>Ballinger's innings started steadily with both openers going for less than 10. Nos. 4 and 5 helped accelerate the scoring but both also went cheaply; McNeil swiping and missing a slow## looping full-toss which he thought would be called a no-ball## and possibly should have been## harmless though it was . . . except for hitting the stumps. This brought on Maciver Snr who## in a partnership of 67 with Kellock## helped steady the ship and put Ballinger in a position to take the game to Taplow. Kellock's solid knock of 54 ended with an acrobatic one-handed catch deep in the outfield. Maciver Snr was next to go## falling just short of his half century on 47. The game was left delicately poised with a handful of overs left to bowl and Ballinger 24 runs from victory. Phil Lloyd did the rest## along with a couple of low scoring tail-enders## Lloyd striking the ball imperiously to the boundary## including the only six of the game and the winning runs## a four off the first ball of the last over of the match. </p><p>A game played in beautiful surroundings## on a very fine wicket and in the true spirit of Sunday cricket was enjoyed equally (almost) by both teams. </p>MACIVER I(Captain) <br>KELLOCK(Wicket Keeper) <br>STONE<br>LLOYD<br>JOHNSON<br>MAW<br>McNEIL<br>MACIVER J<br>HUGHES K<br>HUGHES L<br>TIVEY,Jamie,2010-02-11
22,<p> Penn cancelled this fixture at the last moment after NK had spent hours sorting out the team</p> Still another 2 points in the bag.,Nigel,2010-02-11
23,<p>Ballinger won the toss and decided to field first. Amersham got off to a flying start racing to 44-1 in 7 overs. Will Clark taking the wicket## which was well caught by Sam King. Amersham's opening batsman retired on 30. Captain James Rose took 2-13 (1 of these a very good caught and bowled) and James Butterworth had figures of 2-11 the second wicket a brilliant catch from Alex Humphrey## which put us back in the game. Then Charlie Mead came back to bowl and took 2-4 in his second spell to restrict Amersham to 103.</p> <p>We started our reply from a steady opening base from Alex Humphries (6) and James Rose (5) but both of those were out in quick succession leaving Charlie Mead and Sam King. They batted well for a couple of overs but then Charlie was unfortunate to be caught by a very good slip catch. Sam King and Robbie Branfield decided to attack the bowlers and crashed the ball to the boundaries## which gave Ballinger a glimmer of hope. When Sam King retired on 31 Robbie continued for about 4 overs before being caught for 12. Daniel Stockdale and Will Clark were both out quickly and we finished 28 short of Amersham ending on 75.</p>Team J.Rose (Capt.) A. Humphrey G. Kingston## C. Mead## S. King## R. Branfield## D. Stockdale## J. Butterworth## W. Clark## H.Rix## M.Rose Sebastian Richard,Nigel,2010-02-11
24,<p>Ballinger and Ley Hill fought out another nail biter at LHCC on Saturday Batting first the Waggoners struggled to 167-9 with only skipper Matt Riley showing any form on a slow pitch.</p> <p>New opener Andy Branigan and Riley looked in no trouble but found it difficult to get the ball away. McIntyre's introduction at the fall of the first wicket soon upped the scoring until he was dismissed by a clever bit of ball juggling by the Hill's gulley fielder. A brief flurry from Davies and a turgid innings from Kerry meant another failure by Ballinger's middle order. Adams then came to the rescue with 25 off 10 balls and with a bit of help from the tail 167 was riches indeed.<p/><p>Skipper Riley then pulled off a master-stroke when he opened the bowling with Maciver. His left arm spin was very difficult to attack and with Adams as miserly as ever at the other end the Hill found runs equally difficult to acquire.</p><p>Slowly but surely Ballingers spin trio of Maciver## Davies and Lawson tightened their grip on the game but with the Hill's Rennard now in full flow would they be able to get the required run rate high enough to overcome the inevitable late charge.</p><p>Wickets were beginning to fall as the pressure built but slowly the Hill got closer and closer. Danger man Leadbetter was removed by Adams but then Rennard took 11 off Adams penultimate over. This left him on strike and only 14 needed off the last 2 overs. Lawson concede 8 off his last over and now the game had swung in the Hill's favour. The Hill were now on 162 for 6 needing just 6 to win off the last over. Adams to bowl. The first ball had Nick Lee caught at cover## 1 run off the second brought Rennard on strike then the stroke of luck that changes games. Having batted serenely for his 72 Rennard played on.</p><p>5 now required off 3 balls. A scampered single## then a 2 meant 2 required off the last ball. A good clean hit sent the ball steepling into the dark evening night## a roar went up from the Ley Hill crowd only to be stilled when Kerry calmly moved into position to take the catch.</p>A really good game of cricket## enjoyed by both sides.LHCC 166-9 BWCC 167-10,Nigel,2010-02-11
25,H+C very graciously played us## although expecting us the night before! It was a good win to start the season## although extras played a large part on both sides. Best batting and bowling performance was by Xavier Owen (batting: 10 for 0## bowling 9 for 2).,Dick,2010-02-11
26,A tougher match against keen opposition ended with a narrow victory. Josh Livingstone and Xavier Owen both gained 2 wickets with excellent tight bowling and Harry Glenister achieved a wicket maiden.In the batting Alex Wills stood out with a splendid 19 for 1 (net 13 runs). Of 6 wickets lost 3 were to runouts and poor communication between the wickets## something to improve on in the future. A good cup win. Onwards!BWCC 36 for 6## Wendover 10 for 9.,Dick,2010-02-11
27,"""Match played on Sun 14th May. Although BWCC lost we were highly praised for our excellent cricket and spirited stand against a very good team by the opposition coach and spectators. Despite facing County bowlers we were unphased and had so many big hits not got to hand it could have been a very different story! Excellent batting performances by all## notably Tom Harrison (14 for 0## net 14)and a confident opening by Rory Seekins in the batting (9 for 0## net 9) as well as the wicket keeping## holding onto a low catch behind the stumps on their first ball.Harry Wells picked up 2 wickets for 11 runs and Jake Cutter the off cutter took a wicket on his first spinny ball! Toby King and Rory also clean bowled 2 batsmen.Communication between the wickets was excellent## in the future we can work on improving our field placement## as despite the Captains instructions fielders crept closer to the wickets and were not always in their optimum position despite clear """"favoured strokes"""" by the batsmen.The side was ably captained by Josh Livingstone## Alex Wills bowled very well (6 for 0)batted very well (10 for 1 net 4) and kept well## Xavier bowled in the very tight way we have come to expect!(3 for 0). Joe Carey and Duncan Healy also added to the team effort with very good all round performances.Very well done all.Chesham 292 for 5## BWCC 260 for 6.""",Dick,2010-02-11
28,Ballinger U13 B's v Beaconsfield15th May 2006On Monday evening## despite heavy threatening skies the U 13B's took on a strong Beaconsfield U13's in a cup game. As has been the case with a number of our fixtures this year we were up against a lot of boys who were a year older## which## at this age makes quite a difference. Beaconsfield batted first and were kept in check by a good opening spell by Jack Hankinson and Luke Hughes. Mid innings acceleration lifted them to a total of 104. The highlight from Ballinger's point of view was a magnificent over from Jack towards the end of the innings which began with a wicket## clean bowled## was followed by two fast dot balls## followed by a wicket and then another wicket as a result of a great one handed catch by Sam King. Jack was now on hat trick and had a good shout for an LBW turned down## to complete a triple wicket maiden. Tom Branigan## in his first outing also bowled well and took two wickets.Ballinger batted against good straight bowling and never## with the exception of James Rose who showed a very good technique## got to grips with the Beaconsfield attack. We were dismissed in the 20th over for 48.The boys and girls need to have the more experience against the hard ball and work hard on their batting. The odds are always going to be a bit against them this season when up against clubs fielding only effectively an 'A' team## but hopefully this will provide good experience and practice for next year when most of the team will still be eligible for U13's cricket.Team: G. Bailey## J. Rose (capt)## A. Humphreys## S King## L. Knowler## T Branigan## H. Rix## H Graham## H. Stone## L. Hughes## J. Hankinson.Paul Rose,Paul,2010-02-11
29,Wendover 189 for 10 BWCC 230 for 10.A good win## with very consistent bowling by all## exceptional figures from Harry Wells (4 wickets for 3 runs) against their better batsmen## Robert Rose (2 for 3) Alex Howe (2 for 1) and Joe Carey (2 for 8). Robert and Alex both bowled wicket maidens. Rory Seekins and Jake Cutter bowled excellent spin and were unlucky not to get results. Only 7 extras (14 runs) were conceded.Jamie Wise led the batting with an excellent 19 for 0. Joint 2nd highest scores were Joe and Daniel Cady (both 9 for 0). Everbody scored runs although too many balls were skied (and caught). Luckily some lapses in running between the wickets with the associated poor calling went largely unpunished.The fielding was of a high standard with a fantastic diving catch from Alex Wills in the slips## 2 catches from Rory and 1 from Robert. Euan Jackson was particularly good in the field with a very good eye for the ball. Joe conceded no byes in his 10 overs keeping## Rory only 1.,Dick,2010-02-11
30,<p>Ballinger played High Wycombe on Thursday and just for once the sun shone. Unfortunately this might have been one of those occasions when a downpour might have been a saviour.</p><p> Batting first Ballinger's main hope was not to let their score go below 100 which they just managed by 8 runs. All the team tried their hardest## especially first timer Charlie Rodwell## but they were no match for Wycombe's accurate bowling.</p><p> The Waggoners then has to try and limit Wycombe's strong batting line up to under 300. Again they achieved this keeping them to 280. We even took 4 wickets thanks to some smart fielding and good use of the sun.</p><p>Harriot did an excellent job of captaining and the team all worked well together but##we were well and truly trounced by a good Wycombe side and it was with some trepidation that the manager gathered his team around him. Did you have fun he asked and the resounding cry was YES. Well so did I he replied</p> Harriot Stone## Emily Gould## Gaby Sims## Elliot Davenport## Claudio Bassano## Nick Bartington## Charlie Rodwell## Josh Bright## John Martin## Charlie Hendrson,Nigel,2010-02-11
31,The 15s made a sound start to their league campaign against strong local rivals Chesham. Batting first against a side containing several county players BWCC lost an early wicket when Richard Clarke was out LBW before Charlie Wells and Ollie Richards steadied the innings. Charlie was the second out## to another LBW decision## with a useful score of 19## bringing in Tom Crick to join skipper Ollie who## having opened his innings with five singles## began to find the boundary. With Tom scoring exclusively in ones## Ollie pushed the score along well until he was out to a brilliant one-handed catch by Andy Goddard off the talented Ali Birkby for 31. Chesham's joy at dismissing Richards was short-lived## however## when Alex Macdonald struck his first ball for four and his second for six## Birkby's first over gaining a wicket but having gone for 19. Alex had found his timing straight away and raced to 30 in only nine scoring shots before being caught. Nick Rose and James Woods added useful## quick runs as the innings drew to a close with a score of 125## probably a few short## given the dominance enjoyed in the middle of the innings.Chesham's top three were all county players and it was important to bowl tightly early on## which Tom and Alex managed## but it was a change of bowling which gained the first wicket when Andy Goddard## playing for the off-spin## was deceived by a perfectly pitched top-spinner from Fergus Hardy. Jason Rance was then dropped first ball off a difficult low chance to square leg. Tight bowling and athletic fielding kept Chesham below the run rate required as they managed only six boundaries in total. James Woods kept tidily and took a neat stumping off Charlie and Tom Crick came back at the end to pick up two wickets including that of Ali Birkby who top-scored with 40. Chesham finished on 87 never having matched BWCC's run-rate in the face of a good all-round bowlingperformance; Tom and Alex being the pick with 2 for 6 and none for eight respectively## both off four overs. Thomas Maw## Jason Stone## in the outfield## and Jeff Moxom distinguished themselves in a very tidy fielding performance for the first match of the season.,Ian H,2010-02-11
33,<p> Saturdays game was abandoned after we'd fielded for 20+ overs and got very cold and grumpy</p> <p>Fortunately for Nick the bowling analysis won't appear in the stats.</P>,Nigel,2010-02-11
35,<p>Amid## steady drizzle we assembled at Flackwell and after a delay we started a reduced length 16 over a side match in what was now steady rain.</p><p>We lost the toss and fielded## a decision that backfired on Flackwell as Jack Hankinson## fresh after bowling a triple wicket maiden with his last over against Beaconsfield bowled the best best spell our team have seen this Spring. His four overs yielded 4 wickets for two runs and he was supported by Freddie Gamble who was economic and took a wicket. Luke Hughes took over from Jack and took a wicket with his first ball## leaving Flackwell at a vunerable 19-6 after 9 overs.</p><p>The ball soon resembled a bar of soap and Flackwell re-grouped well to finish on 49-7 from their 16 overs## almost half their total comprised of extras due largely to the wet ball and terrible conditions.</p><p>After further rain (it never stopped) the Umpires agreed that the game could not continue and as this was the last permitted day to play the match the points were shared. This was a frustration to all of the players however they can be congratulated for sticking at a tough job and playing themselves into a position of strength.</p>Tim Rix,Nigel,2010-02-11
38,On a wet## windy and gloomy evening the match at Aston Clinton went ahead thanks to the home side's willingness to play. Aston won the toss and elected to bat but were almost immediately in trouble when BWCC's opening pair of Richard Clarke and Ollie Richards both struck## to leave the home side on 5 for 4 after three overs## good catches in the gully/point region being taken by Richard Wise and Richard Clarke off his opening partner. Although Aston worked hard to improve their score## the BWCC bowlers## using the conditions well## never let them back into the match. Richard Wise## looking quite at home in the older age group## picking up 2 for 8 off his four overs and Freddie Cooke bowling what turned out to be Aston's last man coming in at No. 8. James Stoddart and Dominic Hutson missed out## having been kept back to complete the allotted overs## as skipper Ollie was unaware that Aston were fielding a depleted side.Aston were always going to have difficulty defending a total of 33 and so it proved## BWCC overtaking their score half-way through the fourth over## as Ollie realised the priority of winning the match as soon as possible in the threatening conditions rather than risk giving more of the team batting time.Great credit went to the younger players## who enabled BWCC to fulfil the fixture (and pick up the league points) with only five U15s and fielded with the athleticism and enthusiasm that## together with their vocal support## is becoming their trademark.,Ian H,2010-02-11
39,The U13A's were beaten by the weather on a miserable sunday morning. Despite the oppostion appearing reluctant to make a start the game finally got under way. BWCC made 19-1 after 6 overs before the rain finally forced a halt to proceedings with Sam Privett not out on 13.<br>The game has been rearranged for Sunday 28th May.,Ian,2010-02-11
40,The U14's came up against a very good Dinton side. The match was played in overcast conditions with rain not far away. BWCC won the toss and decided to bat first - perhaps not the best decision. Within the first 3 overs 4 of the top order were back in the pavillion with 4 runs between them - a disastrous start. James Miller and Jonny Freeman steadied the innings and put some runs on the board. James top scored with 19 runs. Wickets then started to fall regularly as the game progressed. However the U14's managed to bat out the 20 overs## with Chris Coldwell being undefeated on 7. Dinton made short work of the 57 runs required to win losing only 1 wicket due to a good catch by Michael Bryant of the bowling of Jack MacIver. As Dinton progressed towards the target a number of catches were offered but none went to hand. Scores:- BWCC 56-8 Dinton 57-1Team:- Tom Sperring## Jeff Moxom## Luke Martin## James Miller## Jonny Freeman## Lewis Ostacchini## Chris Coldwell## Jack MacIver## Michael Bryant## Aaron Bailey## Paul Probert,Chris,2010-02-11
41,The match was played on a very pleasant sunny evening. BWCC won the toss and asked Winslow to bat. Winslow made a good start but some good bowling by Jack MacIver and Luke Martin soon got among the wickets to peg Winslow back. The turning point for BWCC came when Alex Morgen took 3 wickets in his second over and ended with figures of 3-1-6-4 - well done Alex. As the final overs came## Winslow increased their score as BWCC tried to take the last wicket. BWCC were set a stiff target of 96 to win and sadly lost an early wicket. However Tom Sperring and Luke Martin steadied the innings. When Tom was out for 11## James Miller came to the wicket and the game turned again towards BWCC. Luke and James took BWCC's score to 81 for 2 when Luke was out for a very good 34 and James followed him shortly after for 28 - his first four deliveries being dispatched for 4's. There then followed a flurry of wickets but Jack MacIver used his county experience and held the innings together and hit the winning run to end up 6 not out. BWCC got home with over to spare but it was becoming very tense over the last few overs. All the BWCC team contributed to the win and was well deserved. <p>scores Winslow 95-9 BWCC 96-7 <p>Team:- Tom Sperring## Jeff Moxom## Luke Martin## James Miller## Lewis Ostacchini## Aaron Bailey## Jack MacIver## Alex Morgan## Michael Bryant## Chris Coldwell## Jonny Freeman,Chris,2010-02-11
42,Scores BWCC 303-1 Taplow 184-9 <p>Full report to follow,Chris,2010-02-11
44,The league match against Holmer Green was a victim of the current drought. Although the square was playable## standing water in several places around the outfield rendered the ground umplayable. Match abandoned - one point each.,Ian H,2010-02-11
48,<p>The U13A's scored a comfortable league win against Cublington. Batting first Cublington struggled against all the Ballinger bowlers who restricted the oppostion to 43 all out in the 13th over.</p><p>In reply the Ballinger batsmen edged their way to victory taking few risks in the process eventually reaching their target for the loss of two wickets after 16 overs.</p><p>Not a great match for the spectators after the last ball thriller at Chesham but a solid performance by the team looking to put together a good run</p><p>Scorecard:<br><b>Cublington 43 all out </b> (12.5 overs) (Alex Morgan 3-13## James Stoddart 2-6## Jack Maciver 2-18## George Bartlett 1-2)<br><br><b>Ballinger 45-2</B> (15.3 overs) (James Wood 14*## Stefan Otto 13)</P>,Ian,2010-02-11
49,"""<p>From a precarious 16-4## Ballinger recovered magnificently to reach 120.<br>Kristian Otto led the charge batting aggresively even after being struck a nasty blow on the arm. Kristian finally holed out to deep mid wicket. At the other Luke Martin batted with great timing and power constantly piercing the Amersham field. Luke was finally forced to retire on reaching the maximum score of 30## a great knock under immense pressure. At 94-8 off 16 overs the tail responded magnificently with 26 coming off the last four overs with Dominic## Stoddy and Adam (a six over cover) all scoring vital runs.</p><p>The Amersham reply got off at a tremendous pace scoring at 10 an over for the first few overs. Adam Robinson produced a great spell to stem the tide and picked up a couple of vital wickets. Jack Maciver responded to the challenge with a couple of great overs and George Bartlett also bowled a great spell getting both turn and bounce to trouble the Amersham batsmen.</p><p>So after all that had gone before it came down to the final over with responsibilty falling on Sam Privett with eight needed by the home team. Two from the first ball## 6 from 5 needed## then a wicket## dot ball## dot ball## two scored so finally four needed off the last ball. The ball went in the air## but how far was it going## not far enough as Stefan took the catch## Ballinger had sneaked home. All the five Amersham dismisals were catches## all going to the Otto's with Kristian collecting one and Stefan the other four.</P><p>Credit to both teams## a fantastic game of cricket.<br> One key stat from the game## Amersham conceded 17 byes## Ballinger just two## which shows that Woody was great behind the wicket but also that the bowlers bowled straight even when under tremendous pressure.<br>One final memory of that evening. A snick from the Amersham batsman to the keeper and great shouts of Howzat! Definately out if the ball carried## but did it carry. As the umpires shrugged shoulders at each other## James Wood was heard to say """"It didn't carry umpire## not out!""""Fantastic sportsmanship in an extremely tense## close game## well done James!</p><p>One final thought## at their respective schools I hope the two camps are back talking to each other!!</p><p><b>Scorecard:<br>Ballinger 120 all out</b> (20 overs) (Luke Martin 30(retired)## Kristian Otto 19)<br><b>Amersham 117 for 6 </b> (20 overs) (Sam Privett 2-6## Adam Robinson 2-10## George Bartlett 1-16)</p>""",Ian,2010-02-11
51,How much longer can we live on the success at Ley Hill.</p><p> 2 of the the matches we've missed playing have been against opposition that we should be looking to beat. You can bet your mortgage that it won't rain when we're playing Holmer Green<p/>,Nigel,2010-02-11
